time	I(L1)
9.897274822329467e-002	-2.827144e-002
9.911889108043769e-002	-3.083932e-002
9.926503393758068e-002	-3.339237e-002
9.926603393758068e-002	-3.340979e-002
9.941217679472368e-002	-3.594664e-002
9.955831965186669e-002	-3.846633e-002
9.970446250900969e-002	-4.096885e-002
9.985060536615270e-002	-4.345420e-002
9.999674822329570e-002	-4.592238e-002
1.001428910804387e-001	-4.837339e-002
1.002890339375817e-001	-5.080723e-002
1.002900339375817e-001	-5.082381e-002
1.013140339375827e-001	-6.734147e-002
1.023380339375838e-001	-8.286256e-002
1.033620339375848e-001	-9.729742e-002
1.043860339375858e-001	-1.105673e-001
1.054100339375868e-001	-1.226047e-001
1.064340339375879e-001	-1.333534e-001
1.074580339375889e-001	-1.427688e-001
1.084820339375899e-001	-1.508178e-001
1.095060339375909e-001	-1.574787e-001
1.105300339375920e-001	-1.627408e-001
1.115540339375930e-001	-1.666049e-001
1.125780339375940e-001	-1.690820e-001
1.136020339375950e-001	-1.701937e-001
1.146260339375960e-001	-1.699713e-001
1.147721767947390e-001	-1.698327e-001
1.149183196518821e-001	-1.696681e-001
1.150644625090251e-001	-1.694778e-001
1.152106053661681e-001	-1.692615e-001
1.153567482233111e-001	-1.690193e-001
1.155028910804541e-001	-1.687513e-001
1.156490339375971e-001	-1.684574e-001
1.156500339375971e-001	-1.684553e-001
1.157541767947400e-001	-1.682304e-001
1.158583196518830e-001	-1.679928e-001
1.159624625090260e-001	-1.677425e-001
1.160666053661689e-001	-1.674796e-001
1.161707482233119e-001	-1.672039e-001
1.162748910804548e-001	-1.669156e-001
1.163790339375978e-001	-1.666147e-001
1.166740339375981e-001	-1.656951e-001
1.168201767947411e-001	-1.652025e-001
1.169663196518841e-001	-1.646863e-001
1.171124625090271e-001	-1.641466e-001
1.172586053661701e-001	-1.635834e-001
1.174047482233131e-001	-1.629966e-001
1.175508910804561e-001	-1.623863e-001
1.176970339375991e-001	-1.617524e-001
1.176980339375991e-001	-1.617480e-001
1.187220339376001e-001	-1.566789e-001
1.197460339376012e-001	-1.505592e-001
1.207700339376022e-001	-1.434663e-001
1.217940339376032e-001	-1.354828e-001
1.228180339376042e-001	-1.266959e-001
1.238420339376053e-001	-1.171961e-001
1.248660339376063e-001	-1.070768e-001
1.258900339376073e-001	-9.643357e-002
1.269140339376083e-001	-8.536300e-002
1.279380339376094e-001	-7.396226e-002
1.289620339376104e-001	-6.232816e-002
1.299860339376114e-001	-5.055648e-002
1.310100339376124e-001	-3.874129e-002
