time	V(A,C)
3.680315927670892e-002	3.272039e+000
3.680415927670892e-002	3.271995e+000
3.695030213385193e-002	3.265626e+000
3.709644499099493e-002	3.259269e+000
3.724258784813794e-002	3.252925e+000
3.738873070528093e-002	3.246593e+000
3.753487356242394e-002	3.240274e+000
3.768101641956694e-002	3.233967e+000
3.782715927670995e-002	3.227672e+000
3.782815927670995e-002	3.227629e+000
3.797430213385295e-002	3.221346e+000
3.812044499099596e-002	3.215076e+000
3.826658784813896e-002	3.208818e+000
3.841273070528196e-002	3.202572e+000
3.855887356242496e-002	3.196338e+000
3.870501641956797e-002	3.190116e+000
3.885115927671097e-002	3.183907e+000
3.885215927671097e-002	3.183864e+000
3.899830213385398e-002	3.177667e+000
3.914444499099698e-002	3.171482e+000
3.929058784813998e-002	3.165309e+000
3.943673070528298e-002	3.159147e+000
3.958287356242599e-002	3.152998e+000
3.972901641956899e-002	3.146861e+000
3.987515927671199e-002	3.140736e+000
3.987615927671200e-002	3.140694e+000
4.090015927671302e-002	3.098108e+000
4.192415927671404e-002	3.056101e+000
4.294815927671507e-002	3.014663e+000
4.397215927671609e-002	2.973787e+000
4.499615927671712e-002	2.933465e+000
4.602015927671814e-002	2.893691e+000
4.704415927671916e-002	2.854455e+000
4.806815927672019e-002	2.815752e+000
4.909215927672121e-002	2.777574e+000
5.011615927672224e-002	2.739914e+000
5.114015927672326e-002	2.702764e+000
5.216415927672428e-002	2.666118e+000
5.318815927672531e-002	2.629970e+000
5.421215927672633e-002	2.594311e+000
5.523615927672736e-002	2.559136e+000
5.626015927672838e-002	2.524439e+000
5.728415927672940e-002	2.490211e+000
5.830815927673043e-002	2.456449e+000
5.933215927673145e-002	2.423144e+000
6.035615927673248e-002	2.390290e+000
6.138015927673350e-002	2.357882e+000
6.240415927673453e-002	2.325914e+000
6.342815927673555e-002	2.294380e+000
6.445215927673657e-002	2.263273e+000
6.547615927673760e-002	2.232588e+000
6.650015927673862e-002	2.202319e+000
6.752415927673965e-002	2.172461e+000
6.854815927674067e-002	2.143008e+000
6.957215927674169e-002	2.113954e+000
7.059615927674272e-002	2.085294e+000
7.162015927674374e-002	2.057023e+000
7.264415927674477e-002	2.029135e+000
7.366815927674579e-002	2.001626e+000
7.469215927674681e-002	1.974489e+000
7.571615927674784e-002	1.947721e+000
7.674015927674886e-002	1.921316e+000
7.776415927674989e-002	1.895269e+000
7.878815927675091e-002	1.869575e+000
7.981215927675193e-002	1.844229e+000
8.083615927675296e-002	1.819228e+000
8.186015927675398e-002	1.794565e+000
8.288415927675501e-002	1.770237e+000
8.390815927675603e-002	1.746239e+000
8.493215927675706e-002	1.722567e+000
8.595615927675808e-002	1.699215e+000
8.698015927675910e-002	1.676180e+000
8.800415927676013e-002	1.653458e+000
8.902815927676115e-002	1.631044e+000
9.005215927676218e-002	1.608933e+000
9.107615927676320e-002	1.587123e+000
9.210015927676422e-002	1.565609e+000
9.312415927676525e-002	1.544386e+000
9.414815927676627e-002	1.523451e+000
9.517215927676730e-002	1.502800e+000
9.619615927676832e-002	1.482429e+000
9.722015927676934e-002	1.462335e+000
9.824415927677037e-002	1.442513e+000
9.926815927677139e-002	1.422959e+000
1.002921592767724e-001	1.403671e+000
1.013161592767734e-001	1.384645e+000
1.023401592767745e-001	1.365877e+000
1.033641592767755e-001	1.347363e+000
1.043881592767765e-001	1.329100e+000
1.054121592767775e-001	1.311085e+000
1.064361592767786e-001	1.293314e+000
1.074601592767796e-001	1.275785e+000
1.084841592767806e-001	1.258493e+000
1.095081592767816e-001	1.241436e+000
1.105321592767827e-001	1.224609e+000
1.115561592767837e-001	1.208012e+000
1.125801592767847e-001	1.191639e+000
1.136041592767857e-001	1.175488e+000
1.146281592767868e-001	1.159557e+000
1.156521592767878e-001	1.143841e+000
1.166761592767888e-001	1.128339e+000
1.177001592767898e-001	1.113047e+000
1.187241592767909e-001	1.097962e+000
1.197481592767919e-001	1.083082e+000
1.207721592767929e-001	1.068403e+000
1.217961592767939e-001	1.053924e+000
1.228201592767950e-001	1.039641e+000
1.238441592767960e-001	1.025552e+000
1.248681592767970e-001	1.011654e+000
1.258921592767980e-001	9.979448e-001
